"customer_excel","rows","rank","score","customer_id","custcd","customer_name","matched_via","ctry","city","bill_to","so_orders","last_so","geo","verdict"
"Ateliers","6","2","89","470","1001","Ateliers ISA","Ateliers ISA","TS","","Y","1","2020-11-05","",""
"Ateliers","6","3","87.3","644","1143","Les Ateliers Isa","Les Ateliers Isa","TS","","Y","1","2023-03-13","",""
"Wacoal America","6","1","63","16","015","Wacoal Europe","Wacoal Europe","UK","","Y","12","2026-08-19","ctry-","WEAK"
"Wacoal America","6","2","63","28","027","Wacoal Timex Pvt.Ltd.","Wacoal Timex Pvt.Ltd.","SL","","Y","2","2015-02-16","ctry-",""
"Wacoal America","6","3","63","694","1189","Wacoal Europe","Wacoal Europe","UK","","Y","1","2024-05-30","ctry-",""
"Rouge Gorge","6","1","63.6","727","1220","ROUGEGORGE","ROUGEGORGE","FR","","Y","8","2025-04-09","","WEAK"
"Rouge Gorge","6","2","37","274","864","Forster Rohner AG","Forster Rohner AG","SW","","Y","4","2018-06-30","",""
"Rouge Gorge","6","3","30.8","407","970","Pointe Russe Ltd. (Head Office)","Pointe Russe Ltd. (Head Office)","TH","","Y","9","2020-06-09","",""
"BIGA Roja","6","1","32.9","765","1255","Bra Pro Limited","Bra Pro Limited","HK","","Y","11","2026-02-24","","WEAK"
"BIGA Roja","6","2","27.8","587","1092","Biggame Teamwear Co.,Ltd. (Branch 00001)","BIGGAME TEAMWEAR CO, LTD","TH","Nakornprathom","Y","54","2026-06-23","",""
"BIGA Roja","6","3","29.6","562","1071","BELLA TELA Ltd.","BELLA TELA Ltd.","UK","Somerset","Y","5","2026-08-12","",""
"LIVY (ETAM)","6","1","39.8","748","1238","ETAM Lingerie","ETAM Lingerie","FR","Clichy","Y","4","2025-03-18","","WEAK"
"LIVY (ETAM)","6","2","36","764","1254","LIVY","LIVY","HK","Sheung Wan","Y","1","2025-05-10","",""
"LIVY (ETAM)","6","3","30.8","124","123","Lise Charmel","Lise Charmel","FR","","Y","5","2017-11-28","",""
"special price for EMB customer","5","1","60","208","801","Eastside Holdings Limited","Eastside Holdings Limited","HK","","Y","10","2018-04-03","","NOT_A_CUSTOMER"
"special price for EMB customer","5","2","60","551","1060","EASTERNPROFIT LTD.","EASTERNPROFIT LTD.","CH","Guangzhou","Y","1","2021-05-05","","NOT_A_CUSTOMER"
"special price for EMB customer","5","3","28","9","008","R&D Customer","R&D Customer","TH","","Y","1404","2026-09-07","","NOT_A_CUSTOMER"
"Triumph art. 254746","4","1","87.3","172","765","Triumph International (Vietnam) Ltd.","Triumph International (Vietnam) Ltd.","VN","","Y","529","2026-07-02","","LIKELY"
"Triumph art. 254746","4","2","87.3","164","757","Triumph International (India) Pvt Ltd.","Triumph International (India) Pvt Ltd.","IN","","Y","188","2025-12-12","",""
"Triumph art. 254746","4","3","86.5","193","786","Triumph International Services (APAC) Limited.","Triumph International Services (APAC) Limited.","HK","","Y","51","2025-01-10","",""
"Triumph 254804","4","1","87.3","172","765","Triumph International (Vietnam) Ltd.","Triumph International (Vietnam) Ltd.","VN","","Y","529","2026-07-02","","LIKELY"
"Triumph 254804","4","2","87.3","164","757","Triumph International (India) Pvt Ltd.","Triumph International (India) Pvt Ltd.","IN","","Y","188","2025-12-12","",""
"Triumph 254804","4","3","86.5","193","786","Triumph International Services (APAC) Limited.","Triumph International Services (APAC) Limited.","HK","","Y","51","2025-01-10","",""
"Delta Bogart","4","1","90.7","474","1002","Delta Bogart Lingerie Ltd.","Delta Bogart Lingerie Ltd.","HK","","Y","152","2025-09-15","","LIKELY"
"Delta Bogart","4","2","66.7","789","1275","DELTA GALIL INTERNATIONAL LIMITED","DELTA GALIL INTERNATIONAL LIMITED","HK","KOWLOON","Y","54","2026-09-07","",""
"Delta Bogart","4","3","39.5","310","900","Bogart Lingerie Ltd.","Bogart Lingerie Ltd.","HK","","Y","29","2024-07-25","",""
"PT Indonesia Wacoal ","4","1","100","171","764","PT. INDONESIA WACOAL","PT. INDONESIA WACOAL","IA","","Y","119","2026-09-03","ctry+","AUTO"
"PT Indonesia Wacoal ","4","2","99.7","52","051","PT.Indonesia Wacoal -REP.Office","PT.Indonesia Wacoal -REP.Office","IA","","Y","4","2018-07-26","ctry+",""
"PT Indonesia Wacoal ","4","3","62.4","30","029","PT. Kewalram Indonesia","PT. Kewalram Indonesia","IA","","Y","80","2026-08-07","ctry+",""
"Chi Shing","3","1","90.7","5","004","Chi Shing Apparel Company Ltd.","Chi Shing Apparel Company Ltd.","HK","","Y","30","2024-07-11","","LIKELY"
"Chi Shing","3","2","90.7","726","1219","CHI SHING APPAREL COMPANY LIMITED","CHI SHING APPAREL COMPANY LIMITED","HK","KOWLOON","Y","1","2024-07-31","",""
"Chi Shing","3","3","37","735","1228","High Fashion (China) Co,Ltd","High Fashion (China) Co,Ltd","CH","Zhejiang","Y","2","2025-01-06","",""
"PT Busanaremaja ","3","1","98","468","1000","PT. BUSANAREMAJA AGRACIPTA","PT. BUSANAREMAJA AGRACIPTA","IA","","Y","31","2025-12-23","ctry+","AUTO"
"PT Busanaremaja ","3","2","98","660","1159","PT. Busanaremaja Agracipta","PT. Busanaremaja Agracipta","IA","","Y","7","2025-01-18","ctry+",""
"PT Busanaremaja ","3","3","98","753","1243","PT. BUSANAREMAJA AGRACIPTA","PT. BUSANAREMAJA AGRACIPTA","IA","TANGERANG","Y","5","2025-12-24","ctry+",""
"K.S. (Samy)","3","1","73.3","775","1264","K.S. PERFECTION INDUSTRIES CO.,LTD. (HEAD OFFICE)","K.S. PERFECTION INDUSTRIES CO.,LTD. (HEAD OFFICE)","TH","","Y","2","2025-06-17","","REVIEW"
"K.S. (Samy)","3","2","66.7","239","829","K. Noah (Asia) Company Limited","K. Noah (Asia) Company Limited","TH","","Y","23","2019-10-29","",""
"K.S. (Samy)","3","3","60","265","855","KCS Co.,Ltd.","KCS Co.,Ltd.","JP","","Y","1","2017-09-05","",""
"Scavi","3","1","89","175","768","SCAVI HUE COMPANY","SCAVI HUE COMPANY","VN","","Y","98","2023-07-27","","LIKELY"
"Scavi","3","2","87.3","670","1167","SCAVI QUANG DIEN LIMITED COMPANY","SCAVI QUANG DIEN LIMITED COMPANY","VN","","Y","6","2025-01-08","",""
"Scavi","3","3","87.3","778","1267","SCAVI QUANG DIEN LIMITED COMPANY","SCAVI QUANG DIEN LIMITED COMPANY","VN","HUE","Y","6","2026-07-14","",""
