Biga Thailand 	511	3	30/5/2025 | 3000 M | 255719AA/14 | 100%PA | 150 - 160 cm | 145 - 155 cm | 10-15 gsm | 31 baht | Updated price 30th May 2025 | Price for PFD.
Biga Thailand 	513	15	Date | MOQ | QTY per color | Article | COMPOSITION | WEIGHT (G/M2) | Full width | Usable width (cm.) | Yield | greige (THB/KG) | greige (USD/KG) | PFE/PFD (THB/m) | PFE/PFD (USD/m) | All Colors (THB/m) | All Colors (USD/m) | Remark
BIGA Lanka greige & PFD 	5	5	Date | For customer | BIGA LANKA | ETH article | Greige price/kg | PFD | Yield (m/kg) | MOQ
BIGA Lanka greige & PFD 	7	4	USD | THB | USD | THB
BIGA Lanka greige & PFD 	35	3	19/1/2023 | 254992 | Greige price :  THB 450.-/kg | MOQ : 500 kgs | (Yield 6.34 m/kg) | K.Sivy gave price by Line on 19.01.23
BIGA Lanka greige & PFD 	36	3	19/1/2023 | 251205 | Greige price :  THB 360.-/kg | MOQ : 850 kgs | (Yield 3.60 m/kg) | K.Sivy gave price by Line on 19.01.23
BIGA Lanka greige & PFD 	134	3	Customer code | Article | Price | Remark
BIGA Lanka greige & PFD 	191	3	Date | BIGA LANKA item | QTY | ETH item | THB/KG
BIGA Lanka greige & PFD 	197	3	Date | BIGA LANKA item | QTY | ETH item | THB/KG
BIGA Lanka greige & PFD 	212	3	CDR.035/25 | sample 1 | Compo:72% Nylon, 28% Spandex | Greige price  =298THB/KGS | MOQ=1,250KGS
BIGA Lanka greige & PFD 	213	3	weight 150gsm , width 160cm | DYED/FOB BKK =3.95USD/M. | MOQ=5,000M.
BIGA Lanka greige & PFD 	216	3	CDR.036/25 | sample 2 | Compo:82%Nylon, 18% Spandex | Greige price  =220THB/KGS | MOQ=850KGS
BIGA Lanka greige & PFD 	217	3	weight 185gsm , width 1500cm | DYED /FOB BKK =3.80USD/M. | MOQ=5,000M.
BIGA Lanka greige & PFD 	220	3	CDR.054/25 | MA000002 | Compo : 100% PA | Greige price = 245THB/KGS | MOQ=1,100KGS
BIGA Lanka greige & PFD 	223	3	CDR.055/25 | MA000001 | Compo : 100% PA | Greige price = 230 THB/KGS | MOQ=1,000KGS
BIGA Roja	5	9	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD
Biggame & MIIT	2	10	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | All colors | All colors
Biggame & MIIT	6	10	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | All colors | All colors
Biggame & MIIT	11	10	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | All colors | All colors
Chantasia_UPDATE	1	11	Date | MOQ | QTY per color | Article | Chantasia item | PFD/PFE (USD/m) | White (USD/m) | Black/Dark (USD/m) | Light (USD/m) | Medium (USD/m) | ALL Colors (USD/m) | Remark
Chantasia_record	1	11	Date | MOQ | QTY per color | Article | Chantasia item | PFD/PFE (USD/m) | White (USD/m) | Black/Dark (USD/m) | Light (USD/m) | Medium (USD/m) | ALL Colors (USD/m) | Remark
Chantasia_record	152	8	Article | Composition | Full Width | Weigth | MOQ | Qty per color | Unit price for All color | Unit price for All color | Remark
Chantasia_record	153	7	Article | Composition | Full Width | Weigth | MOQ | Qty per color | (USD/meter) | (USD/meter)
Chantasia_record	154	5	Article | Composition | Full Width | Weigth | MOQ | Qty per color | Non Brush | Brush
Bodywear	4	10	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD | All colors
Bodywear	11	9	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | All colors
Brandix	3	11	Date | MOQ | QTY per color | Article | Yield | greige (THB/KG) | greige (USD/KG) | PFE/PFD (THB/m) | PFE/PFD (USD/yard | All Colors (THB/m) | All Colors (USD/m) | Remark
Cerie 	5	9	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | All colors
