sheet,source_row,header_row,article,fabric_name,composition,full_width_cm,usable_width_cm,weight_gsm,moq,qty_raw,qty_min,qty_max,color_tier,currency,price,date_raw,remark,block_note
CENTER PRICE USD for internal,32,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.","1,100 m",1100,,PFE/PFD,USD,4.47,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,32,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.","1,100 m",1100,,All_colors,USD,5.00,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,32,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.","1,100 m",1100,,PFE/PFD,THB,134,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,32,14,251170,ELASTIC CHARMEUSE BR,"80% PA, 20% ELASTANE",158 - 163 cm.,153 - 158 cm.,130 - 140 g/m2,"3,000m.","1,100 m",1100,,All_colors,THB,150,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,34,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,USD,2.03,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,34,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",200-600m.,200,600,All_colors,USD,2.63,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,34,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,THB,61,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,34,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.",200-600m.,200,600,All_colors,THB,79,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,35,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,USD,1.70,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,35,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,USD,2.20,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,35,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,THB,51,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,35,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,THB,66,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,36,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,USD,1.67,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,36,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,USD,2.03,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,36,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,THB,50,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,36,14,251173,PA MARQUISETTE,100% PA,150 - 155 cm.,145 - 150 cm.,40 - 45 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,THB,61,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,38,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,USD,2.23,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,38,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",200-600m.,200,600,All_colors,USD,2.90,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,38,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,THB,67,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,38,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.",200-600m.,200,600,All_colors,THB,87,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,39,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,USD,1.87,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,39,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,USD,2.40,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,39,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,THB,56,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,39,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,THB,72,,,DATE : 4th Mar 2020
